Player,Position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Antoine Vermette",C,28,0.34,47,0,1186,14,21,519,642,15,36,2,0.556,1540,684,856,19,0,0,82,23,3,123,0,0,29,0,72,1,47,0.57,60,0,238,2,7,110,148,3,10,0,,24.7,0,1,0,55,66,1,2027,0.104,183,1,35,1542,18,46,2,1,5,0,0,0,0,0,0,0,0,0,0
"Anton Babchuk",D,24,0.29,156,0,1088,13,16,0,0,4,20,1,0,0,0,0,11,0,0,82,42,2,19,0,0,16,0,74,1,35,0.43,32,14,210,2,7,0,0,6,13,0,,21,0,0,1,0,0,1,1724,0.083,132,2,19,1340,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anton Khudobin",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,3,2,1,0,86,5,1.59,81,0.942,1
"Anton Stralman",D,17,0.33,46,0,838,16,8,0,0,0,8,0,0,0,0,0,1,0,0,51,11,1,39,0,0,11,0,39,0,18,0.35,22,-11,151,2,9,0,0,1,10,0,,24.6,0,0,0,0,0,0,1254,0.013,80,0,15,1006,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anton Volchenkov",D,8,0.14,106,0,909,15,8,0,0,0,8,0,0,0,0,0,0,0,0,57,19,0,125,0,0,18,0,27,0,8,0.14,36,3,1,0,0,0,0,0,0,0,,23.9,0,2,0,0,0,0,1365,0,65,0,7,1032,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antti Miettinen",RW,19,0.26,14,0,947,12,13,52,29,8,21,4,0.36,100,64,36,16,0,0,73,20,4,109,0,0,17,0,58,1,35,0.48,38,-3,204,2,6,6,5,8,14,0,,23,0,1,0,6,2,0,1677,0.095,168,0,23,1242,17,44,0,0,4,0,0,0,0,0,0,0,0,0,0
"Antti Niemi",G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523,0,0,0,0,0,60,35,18,6,1741,140,2.38,1601,0.92,6
"Anze Kopitar",C,48,0.64,45,1,1192,15,36,471,462,18,54,5,0.499,1160,581,579,25,0,0,75,40,6,92,0,0,10,0,82,1,73,0.97,20,25,272,3,12,69,92,6,18,0,,25.6,0,2,0,41,25,1,1917,0.107,233,1,62,1619,21,51,3,2,10,0,0,0,0,0,0,0,0,0,0
"Arron Asham",RW,6,0.14,16,0,418,9,6,6,3,5,11,3,0.333,9,6,3,5,0,0,44,8,0,107,6,0,8,0,6,0,11,0.25,46,0,1,0,0,0,0,0,0,0,,12.6,0,0,0,0,0,0,553,0.083,60,0,7,420,9,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"Artem Anisimov",C,26,0.32,45,0,1096,13,21,310,264,15,36,4,0.445,688,382,306,18,0,0,82,16,2,74,0,0,10,0,65,1,44,0.54,20,3,147,1,5,36,21,3,8,0,,21.2,0,1,0,36,21,0,1738,0.095,190,0,46,1329,16,46,1,1,5,0,0,0,0,0,0,0,0,0,0
"Arturs Kulda",D,0,0,1,0,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,1,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,,16,0,0,0,0,0,0,32,0,3,0,0,22,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barret Jackman",D,13,0.22,114,0,1076,17,10,0,0,0,10,0,0,0,0,0,0,0,0,60,24,0,78,1,0,21,1,29,0,13,0.22,57,3,2,0,0,0,0,0,0,0,,26.7,0,2,3,0,0,0,1604,0,65,3,28,1248,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Bishop",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,5,3,4,0,168,17,2.76,151,0.899,1
"Ben Eager",LW,10,0.15,28,0,711,10,10,1,0,7,17,2,0,2,2,0,7,0,0,68,26,1,87,6,1,24,3,28,0,17,0.25,120,4,7,0,0,0,0,0,0,0,,15.1,0,0,0,1,0,0,1025,0.083,84,0,21,723,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Holmstrom",C,0,0,0,0,12,6,0,5,4,0,0,0,0.312,16,11,5,0,0,0,2,0,0,8,1,0,0,0,0,0,0,0,5,-1,0,0,0,1,0,0,0,0,,12,0,2,0,5,1,0,24,0,0,0,1,18,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Lovejoy",D,14,0.3,60,0,659,14,12,0,0,3,15,0,0,0,0,0,3,0,0,47,8,0,44,2,0,14,1,35,0,17,0.36,48,11,3,0,1,0,0,0,1,0,,19.9,0,0,1,0,0,0,933,0.05,60,1,7,705,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Maxwell",C,1,0.08,2,0,132,11,1,19,16,1,2,0,0.444,36,20,16,1,0,0,12,3,0,1,1,0,2,0,6,0,2,0.17,9,-7,2,0,0,1,0,0,0,0,,16.8,0,0,0,0,0,0,201,0.077,13,0,5,143,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Smith",RW,0,0,5,0,79,13,0,2,4,1,1,0,0.75,8,2,6,1,0,0,6,0,0,7,0,0,0,0,0,0,1,0.17,0,1,2,0,0,0,2,0,0,0,,19.2,0,0,0,0,0,0,115,0.167,6,0,3,82,13,43,0,0,0,0,0,0,0,0,0,0,0,0,0
