player,position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Calvin Heeter",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calvin Pickard",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cam Atkinson",RW,9,0.257,16,1,459,13.114,8,0,0,8,16,0,0,0,0,0,9,0.257,0,35,6,1,24,0,0,2,0,33,0,18,0.514,4,9,32,0.914,1,0,0,1,2,0,2.6,21.086,13,0.371,0,0,0,0,738,0.099,91,0,19,545.5,15.577,0.74,1,0,4,0,0,0,0,0,0,0,0,0,0
"Cam Barker",D,2,0.143,16,0,182,13,2,0,0,0,2,0,0,0,0,0,0,0,0,14,4,0,16,0,0,2,0,7,0,2,0.143,4,-3,3,0.214,0,0,0,0,0,0,1.357,20.429,2,0.143,0,0,0,0,286,0,19,0,0,198.77,14.143,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cam Fowler",D,10,0.27,41,0,624,16.865,5,0,0,0,5,0,0,0,0,0,1,0.027,0,37,30,0,19,0,0,2,0,19,0,11,0.297,4,-4,75,2.027,5,0,0,1,6,0,1.351,22.351,8,0.216,0,0,0,0,827,0.02,50,0,5,756.23,20.426,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cam Janssen",RW,0,0,0,0,14,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,1,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,27,0,0,0,0,15.88,3.815,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cam Ward",G,0,0,0,0,728,42.824,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,98,5.765,0,0,0,0,0,0,0,0,83,4.882,0,0,0,0,0,0,0,0,0,929.44,54.618,0,0,0,0,16,9,6,1,477,44,2.84,433,0.908,1
"Cameron Schilling",D,0,0,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,11.97,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carey Price",G,0,0,0,0,1796,46.051,0,0,0,0,0,0,0,0,0,0,0,0,0,39,26,0,0,0,0,0,0,0,0,0,0,0,0,223,5.718,0,0,0,0,0,0,0,0,183,4.692,0,0,0,0,0,0,0,0,0,2249.03,57.667,0,0,0,0,38,21,13,4,1018,97,2.59,921,0.905,3
"Carl Gunnarsson",D,14,0.378,71,0,632,17.081,14,0,0,1,15,0,0,0,0,0,1,0.027,0,37,32,0,78,0,0,7,0,15,0,15,0.405,14,5,15,0.405,0,0,0,0,0,0,0.757,30.243,95,2.568,0,0,0,0,1119,0.036,28,0,11,787.03,21.259,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carl Hagelin",LW,14,0.292,28,0,723,15.063,14,0,0,9,23,0,0.412,17,10,7,10,0.208,0,48,20,1,49,0,0,9,0,33,0,24,0.5,18,10,34,0.708,0,0,0,1,1,0,2.75,21.771,13,0.271,0,0,0,0,1045,0.076,132,0,13,830.53,17.293,0.79,0,0,1,0,0,0,0,0,0,0,0,0,0
"Carl Soderberg",C,2,0.4,3,0,61,12.2,2,0,0,0,2,0,0.538,13,6,7,0,0,0,5,2,0,2,0,0,2,0,1,0,2,0.4,4,0,10,2,0,0,0,0,0,0,1,17,0,0,0,0,0,0,85,0,5,0,1,75.92,15.154,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carlo Colaiacovo",D,1,0.167,10,0,91,15.167,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,1,0,5,0,1,0.167,2,-4,13,2.167,1,0,0,0,1,0,2,26,2,0.333,0,0,0,0,156,0,12,0,0,113.45,18.792,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carter Bancks",C,0,0,3,0,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,1,0,0,0,0,40,0,0,0,1,29.37,14.275,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carter Hutton",G,0,0,0,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,58.73,29,0,0,0,0,1,0,1,0,28,3,3.06,25,0.893,0
"Casey Cizikas",C,9,0.2,21,2,430,9.556,8,0,0,6,14,0,0.522,276,132,144,6,0.133,0,45,6,1,75,0,0,7,0,14,0,15,0.333,14,0,0,0,1,0,0,0,1,0,1,15.444,18,0.4,0,0,0,0,695,0.133,45,0,21,485.41,10.772,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cedrick Desjardins",G,0,0,0,0,134,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,9,2.25,0,0,0,0,0,0,0,0,0,160.1,40.025,0,0,0,0,2,0,3,0,73,8,3,65,0.89,0
"Chad Johnson",G,0,0,0,0,198,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4.2,0,0,0,0,0,0,0,0,22,4.4,0,0,0,0,0,0,0,0,0,246.61,49.292,0,0,0,0,4,2,0,2,108,5,1.22,103,0.954,1
"Chad Larose",RW,2,0.057,6,0,387,11.057,2,0,0,2,4,0,0.409,22,13,9,2,0.057,0,35,6,0,59,1,0,7,1,32,0,4,0.114,29,-9,30,0.857,0,0,0,0,0,0,1.857,18.114,1,0.029,0,0,0,0,634,0.031,65,0,8,449.49,12.838,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad Ruhwedel",D,0,0,8,0,96,13.714,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.143,18.571,1,0.143,0,0,0,0,130,0,8,0,2,99.38,14.179,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0
